country,ratings,number_of_customers,years_of_experiance,number_of_reviews,type_of_consultant,first_name,last_name,lat,long
BEL,3.25,69,11,69,Career,Jaylen,BLACKWELL,29.0284994,11.44408451
FRN,3.5,42,16,42,Doctor,Lia,MERCADO,7.168532856,41.97360914
SWZ,2.5,9,0,9,Doctor,Haven,TANNER,37.69622412,1.120928066
SPN,3.5,49,11,49,Education,Rowan,EATON,-7.118924115,21.79943453
POR,2,17,6,17,Lawyer,Ashlyn,CLAY,-22.64874437,19.39365427
HAN,3.5,47,6,47,Education,Gregory,BARRON,27.05035639,-8.422989318
BAV,3.5,48,1,48,Career,Emanuel,BEASLEY,-3.100458885,-5.197616471
GMY,3,92,1,92,Lawyer,Christina,ONEAL,-18.24473,-36.64675628
BAD,3.5,57,2,57,Career,Amber,PRESTON,-18.86740963,-17.21352512
SAX,3.5,21,9,21,Career,Killian,SMALL,-35.47150325,-0.919188876
WRT,3.5,15,6,15,Education,Myla,WU,14.34147987,7.318823404
HSE,3.25,93,1,93,Lawyer,Addilyn,ZAMORA,-42.72915525,45.11262443
HSG,3.75,66,13,66,Doctor,Erin,MACDONALD,25.09534069,5.455516038
AUH,3.75,57,18,57,Career,Allen,VANCE,7.088518434,36.13371473
ITA,4,71,5,71,Education,Alison,SNOW,21.47155015,1.089900189
PAP,3.5,32,6,32,Education,Ainsley,MCCLAIN,-20.02553746,3.10480645
SIC,3.5,1,2,1,Lawyer,Raelyn,STAFFORD,-29.82483381,-32.20870107
TUS,4,48,6,48,Career,Atticus,OROZCO,0.711700211,-5.582086079
GRC,4,100,1,100,Doctor,Cadence,BARRY,18.94008314,16.67059193
RUS,3,13,4,13,Doctor,Kendra,ENGLISH,-9.39291725,16.64966301
SWD,2.75,75,12,75,Lawyer,Desmond,SHANNON,-16.99297927,-37.2946467
DEN,3.25,77,6,77,Doctor,Shawn,KLINE,21.91201122,-49.65439163
TUN,3.5,47,6,47,Education,Heidi,JACOBSON,-38.57452486,-21.26952066
TUR,3.5,15,3,15,Lawyer,Grady,WOODARD,43.58219873,-8.721969428
USA,2.75,64,7,64,Career,Kelsey,HUANG,-32.27502576,-24.17315499
MEX,3.25,81,0,81,Career,Nadia,KEMP,-7.803453982,-14.17720079
COL,3,89,7,89,Career,Alondra,MOSLEY,-13.81087907,34.37526619
VEN,3.25,60,1,60,Doctor,Cheyenne,PRINCE,-1.025568032,15.62453398
PER,4,14,6,14,Education,Kaydence,MERRITT,37.14151258,-32.26028713
BRA,2.75,30,1,30,Education,Mikayla,HURST,-27.22106723,-32.25160959
CHL,3,70,6,70,Education,River,VILLANUEVA,18.75868655,-18.03757057
ARG,3.25,9,12,9,Lawyer,Quinn,ROACH,-17.14691028,-12.73057239
UKG,3.5,57,18,57,Education,Frank,NOLAN,-1.221799367,-2.00025634
NTH,3.5,94,13,94,Lawyer,Fabian,LAM,24.91495056,-12.41410808
BEL,3,76,27,76,Education,Heaven,YODER,17.31869456,12.16211564
FRN,3.25,82,7,82,Doctor,Dakota,MCCULLOUGH,28.85066485,6.765196919
SWZ,3.5,65,5,65,Lawyer,Arielle,LESTER,-4.784095306,10.06136741
SPN,3.25,72,0,72,Doctor,Roberto,SANTANA,-45.34188353,-12.21584733
POR,3.5,26,0,26,Career,Lana,VALENZUELA,36.14098592,-17.05541018
HAN,3.25,83,7,83,Doctor,Blakely,WINTERS,-12.74380483,-12.52577745
BAV,3.25,86,11,86,Doctor,Sabrina,BARRERA,-21.62187383,-15.27409562
GMY,3.25,52,5,52,Lawyer,Kyla,LEACH,0.420339779,-24.64819103
BAD,3.75,99,2,99,Doctor,Beckham,ORR,-22.99731203,-12.12683654
SAX,3.25,4,6,4,Lawyer,Ada,BERGER,-19.2023124,-11.60006223
WRT,3.5,49,7,49,Lawyer,Gracelyn,MCKEE,2.02073241,4.863707108
HSE,3.5,18,20,18,Education,Major,STRONG,21.47688636,-16.50012435
HSG,3.75,87,7,87,Education,Allyson,CONWAY,-24.19692263,12.3518327
AUH,4,30,25,30,Education,Felicity,STEIN,0.914411785,-31.63893616
ITA,3.75,100,0,100,Doctor,Kira,WHITEHEAD,12.92780968,10.74852082
PAP,3,76,2,76,Education,Briella,BULLOCK,25.42284483,-5.957979709
SIC,3.75,3,6,3,Career,Kamryn,ESCOBAR,-3.482105784,-4.068363019
MOD,3,13,22,13,Education,Skyler,KNOX,13.26305204,13.8882571
TUS,2.5,71,5,71,Lawyer,Adaline,MEADOWS,-41.01620856,48.67058511
GRC,3.25,28,1,28,Doctor,Alicia,SOLOMON,-22.58572841,-5.223088461
RUS,3,14,6,14,Education,Nehemiah,VELEZ,26.23159851,-2.118574713
SWD,2.5,76,5,76,Doctor,Ember,ODONNELL,27.31729223,-0.54037449
DEN,3.25,30,17,30,Lawyer,Aylin,KERR,19.48983387,1.016795324
TUN,4,90,5,90,Career,Drew,STOUT,-30.42346774,-11.03709391
TUR,3.5,95,9,95,Education,Veronica,BLANKENSHIP,26.57481678,6.721415088
USA,3.5,15,6,15,Doctor,Cade,BROWNING,21.60878972,8.274541876
MEX,3.5,84,12,84,Lawyer,Muhammad,KENT,32.3389959,0
COL,3.5,43,7,43,Education,Esmeralda,LOZANO,14.98989978,-39.33394735
VEN,3,19,4,19,Lawyer,Sage,BARTLETT,-1.223985455,-36.61090235
PER,2.75,55,3,55,Doctor,Leslie,PRUITT,4.093486453,17.20019439
BRA,3.25,85,0,85,Career,Aspen,BUCK,24.58700052,14.2214381
CHL,3.25,62,1,62,Doctor,Gia,BARR,-0.859684726,5.272849549
ARG,3,37,5,37,Lawyer,Kendrick,GAINES,-0.302701906,-46.20613929
UKG,2.5,26,25,26,Doctor,Camilla,DURHAM,-21.70990262,-5.583312438
NTH,3.5,62,2,62,Career,Pedro,GENTRY,12.06281668,-35.18275099
BEL,3.25,25,6,25,Doctor,Ashlynn,MCINTYRE,-42.71454398,-12.10147898
FRN,2.75,30,4,30,Lawyer,Scarlet,SLOAN,5.04363431,-3.232328937
SWZ,2.5,17,5,17,Education,Orion,MELENDEZ,18.40198829,28.87469154
SPN,3,71,6,71,Education,Aden,ROCHA,1.07971138,-27.34898344
POR,3,13,7,13,Career,Kamden,HERMAN,4.125094809,-6.663671652
HAN,3,89,2,89,Lawyer,Journee,SEXTON,24.5884069,1.758682016
BAV,3,96,6,96,Lawyer,Ruben,MOON,33.46229189,-13.30927903
GMY,3.25,61,5,61,Doctor,Zaiden,HENDRICKS,1.343754533,9.834059124
BAD,3.75,16,0,16,Education,Daphne,RANGEL,20.07866703,-30.60222556
SAX,2.75,1,1,1,Lawyer,Clark,STARK,18.48926272,6.363105629
WRT,2.75,58,5,58,Education,Noel,LOWERY,-47.83448854,-3.70677926
HSE,3.25,7,2,7,Career,Bianca,HARDIN,-24.79051457,-3.621818879
HSG,3.5,19,5,19,Lawyer,Mckinley,HULL,23.75982418,-31.11188176
MEC,2.75,99,4,99,Career,Porter,SELLERS,-13.58015652,15.27501392
AUH,3.25,50,14,50,Doctor,Amira,ELLISON,34.94223354,-32.06134185
ITA,3.25,36,3,36,Lawyer,Solomon,CALHOUN,-32.40614288,0.274289055
PAP,3,49,7,49,Career,Romeo,GILLESPIE,16.95821968,1.79052253
SIC,3,55,6,55,Career,Rory,MORA,-20.52552988,-6.274000734
MOD,3,18,2,18,Education,Carmen,KNAPP,44.39779268,30.60982568
TUS,3.5,12,0,12,Lawyer,Kyleigh,MCCALL,-3.289041979,6.75133541
GRC,3,10,3,10,Career,Malik,MORSE,-1.71983928,-1.284959133
RUS,3,77,6,77,Lawyer,Megan,DORSEY,23.40400277,15.938983
SWD,3.5,48,6,48,Education,Daxton,WEEKS,12.23485613,-2.542396185
DEN,3.5,31,0,31,Doctor,Skye,NIELSEN,5.975748718,11.78249134
TUN,3,65,6,65,Career,Leland,LIVINGSTON,-16.68246631,6.734142276
TUR,2.5,33,5,33,Education,Elsie,LEBLANC,30.16992458,-12.34338456
USA,3.5,36,1,36,Career,Kennedi,MCLEAN,28.31430095,-0.400816671
MEX,3.5,78,5,78,Education,Averie,BRADSHAW,-22.56310274,-42.46666051
COL,3.5,11,3,11,Career,Carly,GLASS,28.20076325,-11.35942657
VEN,3,42,8,42,Lawyer,Rylie,MIDDLETON,6.427853772,10.07362147
PER,2.75,88,6,88,Career,Kash,BUCKLEY,11.99874487,-1.25734443
BRA,2.75,16,5,16,Career,Gracelynn,SCHAEFER,-22.92435249,-29.83781955
CHL,3.25,83,5,83,Doctor,Mallory,FROST,-15.64044246,-36.95518604
ARG,3.5,94,1,94,Lawyer,Abram,HOWE,0,41.9058488
UKG,2.75,43,0,43,Education,Emersyn,HOUSE,26.11762451,24.67870395
NTH,3,83,2,83,Career,Logan,MCINTOSH,-1.637849511,3.290020274
BEL,3,35,7,35,Doctor,Derrick,HO,-2.043457531,-6.758168506
FRN,3.25,93,0,93,Doctor,Camryn,PENNINGTON,-16.4734288,26.64287408
SWZ,2,17,1,17,Career,Kade,REILLY,4.416205093,7.362782603
SPN,2.5,60,5,60,Education,Gunnar,HEBERT,1.209430006,0.031257093
POR,2.75,57,0,57,Education,Prince,MCFARLAND,-39.65946083,-28.35199117
HAN,3,1,20,1,Doctor,Annabella,HICKMAN,0.281633454,2.575049483
BAV,3,87,1,87,Education,Brendan,NOBLE,-17.40838345,-43.63771562
GMY,3.25,31,6,31,Education,Leonel,SPEARS,-35.13600918,3.576628826
BAD,3,67,1,67,Career,Kason,CONRAD,0.640553094,13.04087264
SAX,3.5,53,1,53,Career,Dylan,ARIAS,-15.18008709,-20.36192753
WRT,3.5,68,0,68,Doctor,Elle,GALVAN,36.03657252,-14.23176679
HSE,2.75,10,6,10,Education,Kiara,VELAZQUEZ,-16.31857939,-32.79278841
HSG,3.25,77,5,77,Career,Braylon,HUYNH,0,-47.07811625
MEC,3.5,6,3,6,Career,Yaretzi,FREDERICK,-5.176928907,-4.628081676
AUH,3.5,71,6,71,Career,Ariella,RANDOLPH,-4.734684355,2.051155101
ITA,3,21,1,21,Doctor,Legend,CANTU,12.50551911,13.30545413
PAP,3.75,49,4,49,Education,Zara,FITZPATRICK,-39.67684686,-30.25057153
SIC,3.75,32,7,32,Education,Pablo,MAHONEY,15.93188418,16.81686923
MOD,3.5,57,21,57,Doctor,April,PECK,13.22217326,7.349849119
TUS,3.5,48,7,48,Lawyer,Jay,VILLA,7.832322087,-48.14027681
GRC,3.5,81,0,81,Doctor,Gwendolyn,MICHAEL,48.88062823,4.138797253
RUS,3.75,54,1,54,Career,Anaya,DONOVAN,-6.337658416,-23.0828128
SWD,4,30,0,30,Lawyer,Baylee,MCCONNELL,-29.22777467,-0.755054066
DEN,2.75,6,0,6,Education,Brinley,WALLS,27.32238407,2.504736622
TUN,3.5,90,5,90,Education,Adan,BOYLE,-5.810986951,18.46700037
TUR,2.75,22,2,22,Lawyer,Jensen,MAYER,7.895775322,-44.16173739
USA,3,78,18,78,Education,Sierra,ZUNIGA,-24.28411491,2.937776237
MEX,3,29,5,29,Lawyer,Annalise,GILES,2.26349676,23.69001319
COL,3.25,2,1,2,Career,Tatum,PINEDA,-17.61335362,-29.19146685
VEN,3.25,79,5,79,Doctor,Serena,PACE,-29.70795554,-5.868280953
PER,2.75,51,6,51,Lawyer,Esteban,HURLEY,-29.83275798,12.7601313
BRA,2.75,79,20,79,Lawyer,Dahlia,MAYS,1.198738164,1.480791936
CHL,3.25,46,4,46,Lawyer,Kellan,MCMILLAN,-46.17025898,-13.81427915
ARG,3.5,85,3,85,Education,Macy,CROSBY,2.146209935,-4.174505337
UKG,2,100,2,100,Doctor,Drake,AYERS,3.052958599,3.293156087
NTH,2.5,68,6,68,Career,Warren,CASE,-24.93383879,15.84174423
BEL,3,82,5,82,Lawyer,Miracle,BENTLEY,1.646532644,-39.71388544
FRN,3.25,2,4,2,Lawyer,Ismael,SHEPARD,0,8.118824778
SWZ,3.5,54,3,54,Education,Madelynn,EVERETT,-16.82665838,-19.60785731
SPN,2.75,11,5,11,Education,Briana,PUGH,-8.204870988,16.42917882
POR,3.5,49,1,49,Career,Ari,DAVID,12.63085734,47.16127445
HAN,3.5,76,3,76,Doctor,Freya,MCMAHON,46.78322641,-2.271774832
BAV,3.5,85,6,85,Doctor,Russell,DUNLAP,-5.889100866,-26.87836274
GMY,3.5,20,2,20,Career,Macie,BENDER,4.597521726,16.17120981
BAD,2.5,51,5,51,Career,Bruce,HAHN,11.31282097,5.265281236
SAX,2.75,0,6,0,Lawyer,Finnegan,HARDING,7.504593424,-23.24584438
WRT,3.5,14,3,14,Education,Marcos,ACEVEDO,23.59952826,36.46228551
HSE,3.75,99,1,99,Doctor,Jayson,RAYMOND,0,10.79015196
HSG,2.5,61,6,61,Career,Theo,BLACKBURN,15.39558493,5.076451372
MEC,2.75,66,1,66,Doctor,Helen,DUFFY,0.738231092,14.27354857
AUH,4,50,2,50,Career,Bethany,LANDRY,0.812351625,18.93926973
ITA,1.75,6,5,6,Lawyer,Leia,DOUGHERTY,0.856682459,-22.69859043
PAP,3,31,13,31,Career,Jaxton,BAUTISTA,24.98407323,2.050728725
SIC,3.5,45,2,45,Career,Phillip,SHAH,-3.82180459,-14.77659751
MOD,3,11,4,11,Doctor,Harlow,POTTS,25.80596535,-28.08907253
TUS,3,50,2,50,Career,Dexter,ARROYO,1.51604096,-10.35202468
GRC,3.5,56,4,56,Education,Braylen,VALENTINE,-6.20681715,29.33849606
RUS,2.75,30,1,30,Doctor,Armando,MEZA,13.16645726,-37.69971972
SWD,2.5,25,6,25,Lawyer,Blake,GOULD,-18.91628317,2.019885744
DEN,2.75,13,3,13,Doctor,Jayleen,VAUGHAN,-27.37613619,25.49470042
TUN,3.5,87,6,87,Education,Braden,FRY,-22.35263562,26.00767377
TUR,3,73,5,73,Doctor,Angelica,RUSH,17.52692441,4.367409116
USA,3,17,6,17,Career,Corey,AVERY,8.757221198,7.838800257
MEX,3.25,16,1,16,Education,Marilyn,HERRING,3.23267046,-0.537303082
COL,2.75,27,14,27,Career,Kolton,DODSON,37.20768337,-24.42428125
VEN,3,31,10,31,Education,Viviana,CLEMENTS,0.876731219,24.09751939
PER,2.75,63,1,63,Education,Gerardo,SAMPSON,15.53338479,0.520671393
BRA,3,71,25,71,Lawyer,Francesca,TAPIA,5.344582632,20.72337166
PAR,2.5,8,8,8,Lawyer,Ace,BEAN,9.176454298,31.05592691
CHL,2.75,54,4,54,Doctor,Juniper,LYNN,1.865596028,-23.23575139
ARG,3,98,6,98,Education,Ellis,CRANE,-48.35164801,2.199353876
UKG,3.5,29,7,29,Doctor,Malcolm,FARLEY,-44.14084457,-10.0366089
NTH,3,41,1,41,Lawyer,Tate,CISNEROS,47.55558567,29.84113583
BEL,3,87,1,87,Lawyer,Carolina,BENTON,0.660621681,23.86237374
FRN,3,83,6,83,Career,Jazmin,ASHLEY,0.871122784,14.99067465
SWZ,3.75,42,1,42,Doctor,Emely,MCKAY,36.69436437,28.11304185
SPN,3.5,31,19,31,Career,Zachariah,FINLEY,-21.3233704,21.15449971
POR,3.25,74,4,74,Education,Maliyah,BEST,-7.851444548,6.409103459
HAN,3.75,91,8,91,Doctor,Chandler,BLEVINS,28.78666864,-22.58762969
BAV,3.75,76,3,76,Career,Cataleya,FRIEDMAN,-1.841750749,31.98779339
GMY,3.75,78,6,78,Lawyer,Milan,MOSES,4.47346656,23.82943864
BAD,3.75,77,5,77,Education,Keith,SOSA,-16.14209316,38.3037063
SAX,3.25,8,13,8,Doctor,Jillian,BLANCHARD,13.81160725,46.95519258
WRT,3.75,97,6,97,Career,Joy,HUBER,3.570358415,11.60088599
HSE,4,40,6,40,Education,Abby,FRYE,22.02245476,1.412582962
HSG,3.5,94,5,94,Career,Malaysia,KRUEGER,8.132310883,14.72579438
MEC,4,24,23,24,Education,Nylah,BERNARD,46.5429867,-14.52735409
AUH,4,18,4,18,Lawyer,Sarai,ROSARIO,41.29603337,20.01983985
ITA,4,76,1,76,Career,Evelynn,RUBIO,-6.860490944,28.91658047
PAP,2.5,45,0,45,Career,Danny,MULLEN,-9.20730727,2.261967721
SIC,3.25,64,7,64,Doctor,Nia,BENJAMIN,-0.182575453,1.770154009
MOD,2.75,92,3,92,Career,Damon,HALEY,-48.68057712,-20.85497116
TUS,3,92,15,92,Doctor,Zuri,CHUNG,18.36531063,3.517437044
GRC,2.75,56,1,56,Education,Enrique,MOYER,-31.88727557,-17.70430387
RUS,3,24,5,24,Education,Jonas,CHOI,-9.349048251,0.756190614
SWD,3.5,2,3,2,Education,Addyson,HORNE,0.72702243,-23.76327299
DEN,2.25,2,4,2,Lawyer,Kane,YU,2.087296185,1.169591999
TUN,3.25,41,0,41,Doctor,Aleah,WOODWARD,-6.288998239,-34.4024456
TUR,3.25,67,7,67,Career,Princeton,ALI,15.85542852,32.10747373
USA,3.5,34,5,34,Lawyer,Hugo,NIXON,14.51985907,-42.57101648
MEX,2.75,70,6,70,Career,Kaia,HAYDEN,-23.86090556,13.68321085
COL,2,33,5,33,Doctor,Ronald,RIVERS,-23.83166982,1.864123809
VEN,2.75,11,8,11,Career,Bristol,ESTES,-13.22825276,16.41795815
PER,3.5,98,7,98,Lawyer,Philip,MCCARTY,-9.119793154,22.44762881
BRA,3.5,86,6,86,Career,Lorelei,RICHMOND,-11.26876632,-25.28516266
PAR,4,1,6,1,Lawyer,Jazmine,STUART,-0.856472629,24.25955601
CHL,3.5,99,3,99,Education,Maeve,MAYNARD,-7.095706673,5.069066345
ARG,3,19,1,19,Doctor,Ibrahim,BRANDT,23.55303841,-0.157732917
UKG,3.25,38,6,38,Lawyer,Alejandra,OCONNELL,-10.04481238,49.77680625
NTH,3.25,19,2,19,Doctor,Justice,HANNA,-45.61809214,-44.41761799
BEL,2.5,94,0,94,Career,Kayson,SANFORD,14.99285208,28.28598035
FRN,3.75,48,5,48,Lawyer,Maximilian,SHEPPARD,-10.66686527,21.76536234
SWZ,3,79,16,79,Lawyer,Lawson,CHURCH,-36.85112839,22.93700966
SPN,3.5,36,14,36,Education,Harvey,BURCH,-2.092748277,35.52090684
POR,2.75,72,10,72,Doctor,Julie,LEVY,18.26814768,-1.076754655
HAN,2.5,100,6,100,Education,Marlee,RASMUSSEN,29.10703361,36.95014331
BAV,2.75,28,6,28,Education,Phoenix,COFFEY,-5.980459556,21.39006264
GMY,3,40,1,40,Education,Jimena,PONCE,-40.33971456,-2.981898869
BAD,2.5,6,13,6,Doctor,Albert,FAULKNER,17.47908407,-19.51246491
SAX,3,98,7,98,Career,Donald,DONALDSON,-13.52505844,2.715877884
WRT,2.75,30,5,30,Education,Emmalyn,SCHMITT,-21.73626027,9.422473936
HSE,2.75,92,6,92,Career,Nayeli,NOVAK,-5.439425053,36.19137192
HSG,3.75,100,6,100,Lawyer,Raul,COSTA,-24.58121941,33.57777072
MEC,2,33,7,33,Career,Aleena,MONTES,-15.75001857,-18.13113073
AUH,3,65,6,65,Education,Brittany,BOOKER,31.16275758,27.99480137
ITA,2.5,68,6,68,Lawyer,Franklin,CORDOVA,4.175283957,25.10584789
PAP,2.75,55,4,55,Education,Hendrix,WALLER,0.042543838,10.69609159
SIC,3,47,22,47,Lawyer,Odin,ARELLANO,32.19336291,40.22097351
MOD,3.25,90,2,90,Education,Amara,MADDOX,-21.11677287,35.33088533
TUS,3.25,34,7,34,Doctor,Karina,MATA,39.50636428,-23.52270935
GRC,3.25,56,5,56,Lawyer,Giuliana,BONILLA,-0.290583947,-49.10550635
RUS,3.25,67,5,67,Doctor,Thea,STANTON,-35.67108234,-20.28142523
SWD,3.25,75,0,75,Career,Brennan,COMPTON,-5.238759522,3.55257763
DEN,2.75,54,3,54,Education,Jamison,KAUFMAN,-4.984128959,39.91345474
MOR,3.75,54,12,54,Education,Braelynn,DUDLEY,43.2154897,-24.03922349
TUN,3.75,74,6,74,Education,Kassidy,MCPHERSON,12.5872136,-23.61496794
TUR,2.5,36,2,36,Lawyer,Braelyn,BELTRAN,-39.63366267,20.94082741
USA,3,40,13,40,Education,Luciana,DICKSON,36.15428374,9.584957051
MEX,2.5,72,4,72,Career,Aubrie,MCCANN,-11.75695898,-2.774429094
COL,3,65,0,65,Career,Janelle,VILLEGAS,-16.15044538,-0.56763769
VEN,3.25,75,6,75,Doctor,Dillon,PROCTOR,12.79996781,-39.1834178
PER,4,41,0,41,Education,Madisyn,HESTER,18.53627433,-20.72718192
BRA,3.75,62,5,62,Career,Brylee,CANTRELL,-43.36747088,14.73723738
BOL,3.75,75,1,75,Doctor,Leighton,DAUGHERTY,42.37340799,-1.452700368
PAR,3.25,29,0,29,Doctor,Ryan,CHERRY,-4.799066741,-9.920325865
CHL,3.75,58,0,58,Lawyer,Brock,BRAY,2.890655049,-16.03684472
ARG,3,79,3,79,Doctor,Amari,DAVILA,2.379931683,24.76593147
UKG,3.5,95,16,95,Education,Eve,ROWLAND,-29.96998406,-20.23221638
NTH,3,2,6,2,Lawyer,Millie,LEVINE,16.11870644,1.322527669
BEL,2.25,8,4,8,Lawyer,Landyn,MADDEN,-26.24844258,-2.97733159
FRN,2.5,47,24,47,Lawyer,Mohamed,SPENCE,14.7721509,-7.537568949
SWZ,3,3,5,3,Career,Kelly,GOOD,-8.454166279,-23.20524829
SPN,3,3,5,3,Career,Selah,IRWIN,-0.955116256,-11.39027582
POR,2.75,27,6,27,Career,Lacey,WERNER,-30.04344975,-18.69963686
HAN,3.25,47,10,47,Career,Willa,KRAUSE,20.5250301,-3.617362614
BAV,3.25,35,1,35,Lawyer,Brycen,PETTY,-3.876695066,26.70286733
GMY,3.5,20,6,20,Lawyer,Haylee,WHITNEY,-26.4726433,8.893977433
BAD,3.5,39,4,39,Doctor,Deacon,BAIRD,-36.58379871,11.27021427
SAX,3.25,82,5,82,Lawyer,Jaylah,HOOPER,26.47136217,16.3190385
WRT,3.5,14,4,14,Career,Colby,POLLARD,24.67388014,-44.34467099
HSE,3,97,0,97,Lawyer,Alec,ZAVALA,-24.27424111,29.26820661
HSG,3.75,90,1,90,Lawyer,Julio,JARVIS,35.30256513,-9.647048934
MEC,3.5,87,22,87,Career,Scott,HOLDEN,-10.56440634,0.085123315
AUH,2.5,64,2,64,Doctor,Matias,HAAS,-41.59416621,0.337841407
ITA,3.25,71,7,71,Lawyer,Sullivan,HENDRIX,21.93978954,7.390972014
PAP,2.75,99,7,99,Doctor,Sylvia,MCGRATH,39.87979682,1.927971255
SIC,2.75,32,7,32,Career,Melany,BIRD,30.99272486,-35.30942172
MOD,3,48,6,48,Lawyer,Rodrigo,LUCERO,-10.95164118,1.595117362
TUS,3.25,4,22,4,Career,Elisa,TERRELL,32.91556434,-47.50696142
GRC,3,74,5,74,Education,Elsa,RIGGS,-0.562372674,6.313537572
RUS,3.5,19,2,19,Lawyer,Cason,JOYCE,13.46545801,31.76921698
SWD,3.25,23,23,23,Career,Taylor,MERCER,-9.468818698,0.753606574
DEN,3.75,70,4,70,Doctor,Hattie,ROLLINS,22.7148535,-15.24316825
MOR,2.75,38,5,38,Career,Raven,GALLOWAY,-10.92106677,0.151959282
TUN,2.75,98,5,98,Career,Rocco,DUKE,0.261426201,0.381640306
TUR,3.5,98,6,98,Education,Holly,ODOM,45.03037637,-14.22070695
USA,2.5,2,2,2,Career,Aisha,ANDERSEN,15.12495306,-22.84246655
MEX,3.5,69,6,69,Doctor,Nico,DOWNS,-9.529628558,-6.720854747
COL,3,0,3,0,Lawyer,Itzel,HATFIELD,6.663029838,4.708596026
VEN,3,89,5,89,Career,Kyra,BENITEZ,22.1103905,-5.61199105
PER,3,80,6,80,Education,Tiffany,ARCHER,3.756746108,-37.29275757
BRA,3.5,13,5,13,Education,Royal,HUERTA,-0.661626972,2.399345832
BOL,3.25,19,4,19,Lawyer,Pierce,TRAVIS,-40.31360924,9.660341616
PAR,3.25,93,5,93,Lawyer,Augustus,MCNEIL,-0.11773878,-5.37095506
CHL,3.25,8,9,8,Lawyer,Jayda,HINTON,-46.89552093,28.15521266
ARG,3.5,30,1,30,Career,Michaela,ZHANG,-11.21143839,-17.66401395
UKG,3,65,3,65,Doctor,Madilynn,HAYS,37.4554133,33.68470559
NTH,3.25,60,18,60,Career,Jamie,MAYO,18.6242351,5.253957584
BEL,3.5,62,23,62,Career,Celeste,FRITZ,16.89424199,11.39390808
FRN,3.5,18,1,18,Lawyer,Raiden,BRANCH,33.47975243,-42.28439665
SWZ,3.5,80,4,80,Doctor,Lilian,MOONEY,40.69257976,-26.87216585
SPN,3,16,11,16,Lawyer,Remi,EWING,-3.043984604,-26.99994038
POR,3.5,22,0,22,Doctor,Kasen,RITTER,-12.70358717,18.92246244
HAN,3.5,50,1,50,Lawyer,Benson,ESPARZA,43.47616845,-22.29416668
BAV,3.75,65,3,65,Lawyer,Moses,FREY,31.44697337,-2.636248421
GMY,2.75,85,0,85,Career,Priscilla,BRAUN,-43.66142046,-0.529126334
BAD,3,78,13,78,Education,Cyrus,GAY,1.676449453,11.11727903
SAX,3.5,63,5,63,Career,Raylan,RIDDLE,-38.41252217,-7.608544553
WRT,3,77,6,77,Doctor,Jazlyn,HANEY,-18.98434288,47.3828567
HSE,2.5,87,7,87,Lawyer,Karen,KAISER,25.58239006,-18.89331313
HSG,3.75,25,1,25,Lawyer,Savanna,HOLDER,27.84545665,35.81200743
MEC,3.25,11,5,11,Lawyer,Davis,CHANEY,-11.32429485,34.05576764
AUH,3.75,52,14,52,Education,Khalil,MCKNIGHT,1.395696473,46.37026
ITA,3,31,6,31,Education,Moises,GAMBLE,-0.861378803,25.23672382
PAP,3,66,1,66,Lawyer,Zariah,VANG,-26.80924016,-26.27957156
SIC,3.5,17,4,17,Lawyer,Conor,COOLEY,14.95352975,-3.41850364
MOD,2,0,6,0,Career,Nikolai,CARNEY,-39.86201582,-5.520328546
TUS,2.75,29,1,29,Doctor,Lauryn,COWAN,-19.87861405,-38.5740883
GRC,3,23,3,23,Education,Alijah,FORBES,7.64871103,36.15573224
RUS,3,21,0,21,Doctor,Mathew,FERRELL,-20.94097198,46.52292934
SWD,3.5,81,19,81,Lawyer,Keaton,DAVIES,-28.24307615,-30.77494676
DEN,1.5,65,7,65,Career,Alanna,BARAJAS,-16.10739917,49.99626935
MOR,2.25,65,20,65,Doctor,Kara,SHEA,45.12208515,-12.12346091
TUN,3.5,8,1,8,Career,Francis,OSBORN,-16.21605315,37.0052886
TUR,3.75,32,1,32,Lawyer,Karla,BRIGHT,37.68580978,-6.589757145
USA,4,16,1,16,Doctor,Quentin,CUEVAS,-12.6958373,-5.283122231
MEX,3.5,78,6,78,Education,Ty,BOLTON,34.83783634,-44.00638853
COL,3.5,50,6,50,Education,Cassandra,MURILLO,-31.60524031,0.564512167
VEN,2.75,44,6,44,Lawyer,Ariah,LUTZ,-8.365701835,-7.282349178
PER,3.5,7,0,7,Lawyer,Evie,DUARTE,2.722291932,3.103848908
BRA,2.75,63,1,63,Education,Frances,KIDD,-0.233389019,-10.11458311
BOL,2.75,6,4,6,Education,Jaime,KEY,22.04664237,-0.120219134
PAR,3.25,93,5,93,Career,Aileen,COOKE,12.62653072,-0.387293605
CHL,3.25,12,5,12,Career,Lennon,GOFF,6.88231787,9.947276433
ARG,3.5,87,1,87,Education,Charley,DEJESUS,-14.45691113,-25.55298725
UKG,2.5,46,1,46,Education,Rosemary,MARIN,46.45628018,0.632896537
NTH,2.75,73,2,73,Education,Danna,DOTSON,-4.89262907,4.591282368
BEL,2.75,65,16,65,Education,Regina,BONNER,13.81295956,-17.7894878
FRN,2,67,5,67,Career,Ronin,COTTON,0.081523977,14.95017794
SWZ,3,77,15,77,Doctor,Kian,MERRILL,38.94964759,-10.90034667
SPN,3.25,47,4,47,Career,Kaelyn,LINDSAY,3.842498859,0.052413496
